source,title,authors,year,venue,doi,url
Semantic Scholar,Community-Oriented Digital Learning via Adaptive Mentor-Ship and AI-Driven Personalization,"Sourabh Lawand, Shubham Sarwar, Padma P. Nimbhore, Harsh Basatwar, Arya Gandewar, Madhavi Nimkar",2025,2025 IEEE International Conference on Blockchain and Distributed Systems Security (ICBDS),10.1109/ICBDS67396.2025.11377113,https://www.semanticscholar.org/paper/3d2ce53a5b4c71d1c459a55d1ec79b4d0ad199e8
Semantic Scholar,Enhancing Novice Programming Education through AI-Driven Mentorship and Project-Based Learning,"Sai Veda Prakash Masetty, Sreeja Vallamulla",2025,International Symposium on Electronic Commerce,10.1109/ISEC64801.2025.11147276,https://www.semanticscholar.org/paper/c9c8443cdeff9941ca03a0844e26528076cf0ecd
Semantic Scholar,"From Smart to Agentic Environments: AI and Innovative Technologies Transforming Learning, Work and Urban Living",Dominika P. Brodowicz,2025,e-mentor,10.15219/em111.1720,https://www.semanticscholar.org/paper/5bcc6c08cbc19270bf08913e46b67ab614fdda4f
Semantic Scholar,Adhyatmik AI: A Generative AI Powered Learning Platform for Spiritual Organizations,"Vrunda Padave, Nilesh Joshi, Manisha Bharati",2025,2025 IEEE Pune Section International Conference (PuneCon),10.1109/PuneCon67554.2025.11379212,https://www.semanticscholar.org/paper/f7bb3cf075cffc74deda312624addb190807f63f
Semantic Scholar,From Passive Watching to Active Learning: Empowering Proactive Participation in Digital Classrooms with AI Video Assistant,"Anna Bodonhelyi, Enkeleda Thaqi, Süleyman Özdel, Efe Bozkir, Enkelejda Kasneci",2024,International Conference on Human Factors in Computing Systems,10.1145/3706598.3713513,https://www.semanticscholar.org/paper/ae07ef69d175bf57cbd07c328a4315054b8ae12d
Semantic Scholar,StudHub: An AI-Driven Platform for Personalized Learning and Career Development,"Jeevan Bade, Prof. Mrs. Radhika Adki, Sakshi Ghorpade, Sanjivani Barve, Shloka Nanna",2026,International Journal of Sciences and Innovation Engineering,10.70849/ijsci03022673987,https://www.semanticscholar.org/paper/14dc267e2cb60c79cef45f9f25d1f978e65c7f92
Semantic Scholar,Ascend AI Judge: An AI-Powered Hackathon Evaluation Platform Using Large Language Models,"Vaishnavi.D. Pachupate, Arya.S. More, Sai.S. Khodake, Arati.N. Bichukale, Arya.S. Sable, Shital.A. Waghmre",2026,International Research Journal on Advanced Engineering Hub (IRJAEH),10.47392/irjaeh.2026.0551,https://www.semanticscholar.org/paper/a2e61a32469767079d3a8efe8151d3ea686f611d
Semantic Scholar,Designing a Persona-Driven Educational Chatbot,"Sarada Prasad Malla, Allupati Ch. Patro",2026,International Scientific Journal of Engineering and Management,10.55041/isjem07842,https://www.semanticscholar.org/paper/77562664dab817b7c936b91a5448c7f0b331c24d
Semantic Scholar,"A Context-Aware, AI-Driven Load Balancing Framework for Incident Escalation in SOCs","Ahmed Abuaziz, B. Celiktas",2025,International Service Availability Symposium,10.1109/ISAS66241.2025.11101733,https://www.semanticscholar.org/paper/c21c4ca51c889513457014f57746708d91244565
Semantic Scholar,Context-Aware AI for Real-Time Content and Quiz Recommendations in Student Learning Environments,"Agon Memeti, Ibrahim Neziri, Neshat Ajruli, Krenar Huseini, Asri Nuhi, Aqim Iljazi",2025,2025 3rd Cognitive Models and Artificial Intelligence Conference (AICCONF),10.1109/AICCONF64766.2025.11063980,https://www.semanticscholar.org/paper/475bff8b5c82736ce5cbed2677871ff983dedcb7
Semantic Scholar,Context-Aware AI Assistant Using Open AI,"K. D, Ayush Raj, Siddharth Singh, Vaibhav Khandelwal, Madhu Jindal",2025,2025 International Conference on Innovative Trends in Information Technology (ICITIIT),10.1109/ICITIIT64777.2025.11040644,https://www.semanticscholar.org/paper/967ebc8d6ab57ad46643e861995146a0dd22311a
Semantic Scholar,Towards Understanding the Impact of Context-Aware AI Tutors and General-Purpose AI Chatbots on Student Learning,"Patrick Bassner, Anna Lottner, Stephan Krusche",2025,European Conference on Modelling and Simulation,10.1145/3769994.3770025,https://www.semanticscholar.org/paper/7305f9e40d8fea68ae1339955c3ff6cac826b35a
Semantic Scholar,Navigating the State of Cognitive Flow: Context-Aware AI Interventions for Effective Reasoning Support,"Dinithi Dissanayake, Suranga Nanayakkara",2025,arXiv.org,10.48550/arXiv.2504.16021,https://www.semanticscholar.org/paper/e3231e6ad62f98dcaecef1ac0a503b86a2d993e9
Semantic Scholar,Learning Context: A Unified Framework and Roadmap for Context-Aware AI in Education,"Naiming Liu, Brittany C. Bradford, Johaun Hatchett, Gabriel Diaz, L. Luzi, Zichao Wang, D. B. Mallick, Richard G. Baraniuk",2025,arXiv.org,10.48550/arXiv.2512.24362,https://www.semanticscholar.org/paper/ba044d8517120ada435d49a9e20e615a5898a6f7
Semantic Scholar,Reading the Digital Pulse: Context-Aware AI for Sensing Engagement Drivers in Health Forums,"Pouria Rad, Gianluca Zanella, Mohsen M. Jozani",2025,International Conference on Wearable and Implantable Body Sensor Networks,10.1109/BSN66969.2025.11337846,https://www.semanticscholar.org/paper/5fa33ac884c1283a661669bf1c47f9bb2129bc44
Semantic Scholar,Context-AI Tunes: Context-Aware AI-Generated Music for Stress Reduction,"Xiaoyan Wei, Zebang Zhang, Zijian Yue, Hsiang-Ting Chen",2025,Interacción,10.1007/978-3-031-93418-6_22,https://www.semanticscholar.org/paper/777090cbcde4296fd261f01b2d7157fa59b28e43
Semantic Scholar,Deploying Context-Aware AI Tools for Internal Organizational Communication,"Lavanya Morasani, Mamatha G, Badana Upendra, Vivek Veeraiah, Ankur Gupta, K. Mishra",2025,2025 International Conference on Innovations and Emerging Technologies In AI & Communication Systems (IETACS),10.1109/IETACS68750.2025.11385550,https://www.semanticscholar.org/paper/75e9baab1e25c44915c04d50c383bb992227894c
Semantic Scholar,Designing a Proactive Context-Aware AI Chatbot for People's Long-Term Goals,"Brennan Jones, Yan Xu, Qisheng Li, Stefan Scherer",2024,CHI Extended Abstracts,10.1145/3613905.3650912,https://www.semanticscholar.org/paper/2873c37c40fe11c0981cf4a963aebbdcd0008087
Semantic Scholar,Harnessing Context-Aware AI for Smarter DecisionMaking: A New Era in Business Intelligence,"Sunil Mandaliya, Priti Kulkarni",2024,2024 First International Conference for Women in Computing (InCoWoCo),10.1109/InCoWoCo64194.2024.10863128,https://www.semanticscholar.org/paper/6bde0e72fd0449dbcd7b98a8532d0f318796f755
Semantic Scholar,Integration of Emotion-Aware Multilingual NLP and Persuasive Dialogue Modeling for Context-Aware AI Voice Agents,"Aswathy Wilson, Aashna Jose Alappattu, Aneena Andrews, Ane Maria Johny, C. Angela Jerry",2026,2026 International Conference on AI-Driven Solutions for Sustainable Smart Cities: Challenges and Opportunities (ADSSSC),10.1109/ADSSSC67751.2026.11582371,https://www.semanticscholar.org/paper/25e284db145c66c921a41089e637981f0207183e
Semantic Scholar,C·A·R·E: A Context-Aware AI Framework for Redesigning Employee Experience in Enterprise Systems,"Suresh Kurapati, Vinod Veeramachaneni, Mugunth Chandran",2026,2026 IEEE International Conference on AI Engineering and Innovations (AIEI),10.1109/AIEI69164.2026.11497311,https://www.semanticscholar.org/paper/f5c524ba03c4749b75825ec06b9116791a262f06
Semantic Scholar,CAPoW: Context-Aware AI-Assisted Proof of Work based DDoS Defense,"Trisha Chakraborty, Shaswata Mitra, Sudip Mittal",2023,International Conference on Security and Cryptography,10.48550/arXiv.2301.11767,https://www.semanticscholar.org/paper/2d8b682effa00d212ee7367967ccd7939ea6b89c
Semantic Scholar,Predictive Analysis of Ransomware Attacks using Context-aware AI in IoT Systems,"Vytarani Mathane, P. Lakshmi",2021,,10.14569/IJACSA.2021.0120432,https://www.semanticscholar.org/paper/7b5abf27fbab11c2af4091979fd5857f7683e73e
Semantic Scholar,Generative AI for Context-Aware 3D Object Creation Using Vision-Language Models in Augmented Reality,"Majid Behravan, Krešimir Matković, Denis Gračanin",2025,2025 IEEE International Conference on Artificial Intelligence and eXtended and Virtual Reality (AIxVR),10.1109/AIxVR63409.2025.00018,https://www.semanticscholar.org/paper/d79df90fc8d1a81ecde3629ae5c9132c54ec6df5
Semantic Scholar,Explainable AI: XAI-guided context-aware data augmentation,"Melkamu Abay Mersha, M. Yigezu, A. Tonja, Hassan Shakil, Samer Iskandar, Olga Kolesnikova, Jugal K. Kalita",2025,Expert systems with applications,10.1016/j.eswa.2025.128364,https://www.semanticscholar.org/paper/b8293bb974d1a97f514600a84826b0eea5f29aed
CrossRef,Context-Aware AI-Based Framework for Sports Analytics,"Konstandinos Aiwansedo, Brahim Daoud, Hamza Ariouich",2026,Proceedings of the 18th International Conference on Agents and Artificial Intelligence,10.5220/0014469700004052,https://doi.org/10.5220/0014469700004052
CrossRef,The AI-Centered Enterprise,"Ram Bala, Natarajan Balasubramanian, Amit Joshi",2025,,10.1201/9781003541561,https://doi.org/10.1201/9781003541561
CrossRef,Elevating User-Centered Design with AI: A Comprehensive Exploration using the AI-UCD Algorithm Framework,Waralak Vongdoiwang Siricharoien,2024,EAI Endorsed Transactions on Context-aware Systems and Applications,10.4108/eetcasa.4211,https://doi.org/10.4108/eetcasa.4211
CrossRef,CAPoW: Context-Aware AI-Assisted Proof of Work Based DDoS Defense,"Trisha Chakraborty, Shaswata Mitra, Sudip Mittal",2023,Proceedings of the 20th International Conference on Security and Cryptography,10.5220/0012069000003555,https://doi.org/10.5220/0012069000003555
CrossRef,Sanhedrin Architecture: Context-Aware Adaptive Model Council for AI Decision Systems,Shaul Sapielkin,2026,,10.36227/techrxiv.177220350.01990157/v1,https://doi.org/10.36227/techrxiv.177220350.01990157/v1
CrossRef,,,,,10.61686/cputr83367,https://doi.org/10.61686/cputr83367
CrossRef,Context-Aware Explainability in AI-Powered Language Education: The CURIPOD,Dilşah Kalay,2026,Contextualizing Explanations,10.64136/asge3694,https://doi.org/10.64136/asge3694
CrossRef,Marketplace Enrichment,"Ram Bala, Natarajan Balasubramanian, Amit Joshi",2025,The AI-Centered Enterprise,10.1201/9781003541561-8,https://doi.org/10.1201/9781003541561-8
CrossRef,Interactive Enhancement,"Ram Bala, Natarajan Balasubramanian, Amit Joshi",2025,The AI-Centered Enterprise,10.1201/9781003541561-7,https://doi.org/10.1201/9781003541561-7
CrossRef,Intent Intelligence,"Ram Bala, Natarajan Balasubramanian, Amit Joshi",2025,The AI-Centered Enterprise,10.1201/9781003541561-4,https://doi.org/10.1201/9781003541561-4
CrossRef,Individual Productivity,"Ram Bala, Natarajan Balasubramanian, Amit Joshi",2025,The AI-Centered Enterprise,10.1201/9781003541561-6,https://doi.org/10.1201/9781003541561-6
CrossRef,Context-Aware AI Models for Anomaly Detection in Encrypted 5G and IoT Networks,Betty Heleen,2025,,10.14293/pr2199.002355.v1,https://doi.org/10.14293/pr2199.002355.v1
CrossRef,Strategic Priorities,"Ram Bala, Natarajan Balasubramanian, Amit Joshi",2025,The AI-Centered Enterprise,10.1201/9781003541561-12,https://doi.org/10.1201/9781003541561-12
CrossRef,AI-Driven Context-Aware Code Refactoring System for Dynamic Software Optimization,Muhammad Asad Naeem,2026,,10.2139/ssrn.5827904,https://doi.org/10.2139/ssrn.5827904
