source,title,authors,year,venue,doi,url
CrossRef,STUDENT TEACHER KNOWLEDGE AND  ITS IMPACT ON TASK DESIGN,", N.L. Kozhasova",2023,DULATY UNIVERSITY BULLETIN,10.55956/vzhm3266,https://doi.org/10.55956/vzhm3266
CrossRef,RSNA Medical Student Task Force,,2025,RadioGraphics,10.1148/rg.240253.podcast,https://doi.org/10.1148/rg.240253.podcast
CrossRef,Teacher perspectives and student voices,"Koen Van Gorp, Emily Heidrich Uebel",2025,TASK. Journal on Task-Based Language Teaching and Learning,10.1075/task.25005.gor,https://doi.org/10.1075/task.25005.gor
CrossRef,Adolescent Task Management: Multitasking and Social Media in the Student Search Process,", John Kurtenbach",,,10.12794/metadc500064,https://doi.org/10.12794/metadc500064
CrossRef,Accounting for Student Perspectives in Task Design,"Janet Ainley, Claire Margolinas",2015,New ICMI Study Series,10.1007/978-3-319-09629-2_4,https://doi.org/10.1007/978-3-319-09629-2_4
CrossRef,Smart Student Productivity &amp; Task Management System,Thoti Giri,2026,International Journal for Research in Applied Science and Engineering Technology,10.22214/ijraset.2026.78949,https://doi.org/10.22214/ijraset.2026.78949
CrossRef,Web-Based Student Task Management System,"Farhan Ahmad Nurzi, Kasmawahida Ab Wahab",2022,"Engineering, Agriculture, Science and Technology Journal (EAST-J)",10.37698/eastj.v1i1.119,https://doi.org/10.37698/eastj.v1i1.119
CrossRef,Deep Learning for Student Outcomes Temporal Deep Learning for Student Outcome Prediction: Comparing Multi-Task and Single-Task Approaches on the OULAD Dataset,"Haili Qin, Chuanxia Zhang, Linkai qi",2026,,10.21203/rs.3.rs-9014768/v1,https://doi.org/10.21203/rs.3.rs-9014768/v1
CrossRef,Student-Created Tasks Inform Conceptual Task Design,Gaye Williams,2010,Mathematical Tasks in Classrooms Around the World,10.1163/9789460911507_010,https://doi.org/10.1163/9789460911507_010
CrossRef,Policy Perspectives on Task Design,Mark Chater,2014,Designing Tasks in Secondary Education,10.4324/9781315755434-3,https://doi.org/10.4324/9781315755434-3
CrossRef,Tasks Before the Student Arrives,Dorothy E. Pettes,2021,Staff and Student Supervision,10.4324/9781003200413-7,https://doi.org/10.4324/9781003200413-7
CrossRef,"The Relationships Between Task Design, Anticipated Pedagogies, and Student Learning","Peter Sullivan, Libby Knott, Yudong Yang",2015,New ICMI Study Series,10.1007/978-3-319-09629-2_3,https://doi.org/10.1007/978-3-319-09629-2_3
CrossRef,TEACHING AS TASK DESIGN: AN ACTIVITY-BASED APPROACH TO STUDENT LEARNING,Vidar Gynnild,2016,EDULEARN proceedings,10.21125/edulearn.2016.0457,https://doi.org/10.21125/edulearn.2016.0457
CrossRef,Management Tasks Related to Individual Workers,Dorothy E. Pettes,2021,Staff and Student Supervision,10.4324/9781003200413-4,https://doi.org/10.4324/9781003200413-4
CrossRef,"Pre-service teachers’ understandings of exploratory task design in mathematics: from GeoGebra task design to the 8
            <sup>th</sup>
            grade student","Ellen Konstanse Hovik, Kathleen Nolan",2024,Cogent Education,10.1080/2331186x.2024.2421088,https://doi.org/10.1080/2331186x.2024.2421088
CrossRef,Exploring task-related student peer interactions in physical education,", Jeroen Henk Koekoek",,,10.33540/112,https://doi.org/10.33540/112
CrossRef,Bilingual Text Production as Task and Resource: Social Interaction in Task Oriented Student Groups,Jakob Cromdal,2004,Nordlyd,10.7557/12.36,https://doi.org/10.7557/12.36
CrossRef,Designing for Task Engagement,Priya Panday-Shukla,2024,Task Engagement Across Disciplines,10.4324/9781003406419-18,https://doi.org/10.4324/9781003406419-18
CrossRef,Empowering Student Success: A Comprehensive Task Management and Notification System,"Aarav Vashishtha, Sumit Kumar Jha, Vivek Kumar Shah, Jaykishor Prasad Chauhan, Krishna Bhagat, Gayathri Ramasamy",2025,SSRN Electronic Journal,10.2139/ssrn.5091489,https://doi.org/10.2139/ssrn.5091489
CrossRef,EXAMINING THE AGREEMENT BETWEEN STUDENT AND INSTRUCTOR TASK PERCEPTIONS IN A COMPLEX ENGINEERING DESIGN TASK,"A F Hadwin, M Oshige, M Miller, P M Wild",2011,Proceedings of the Canadian Engineering Education Association (CEEA),10.24908/pceea.v0i0.3692,https://doi.org/10.24908/pceea.v0i0.3692
CrossRef,Student-teacher engagement in and reflection on virtual exchange task design,"Cathryn Bennett, Ciara R. Wigham",2024,Alsic,10.4000/133tv,https://doi.org/10.4000/133tv
CrossRef,Staff and Student Supervision,Dorothy E. Pettes,2021,,10.4324/9781003200413,https://doi.org/10.4324/9781003200413
CrossRef,DESIGN OF STTAL COLLEGE STUDENT FINAL TASK AND RESEARCH PRODUCT INFORMATION SYSTEM BASED ON WEB,"Ahmadi Ahmadi, Muchammadil Chafid, Alexander Victor Bukit, Arie Marbandi",2020,JOURNAL ASRO,10.37875/asro.v11i03.308,https://doi.org/10.37875/asro.v11i03.308
CrossRef,"Mathematics student teachers  task design processes: The case of History, Theory, Technology, and Modeling",Çağlar Naci Hıdıroğlu,2022,Journal of Pedagogical Research,10.33902/jpr.202217094,https://doi.org/10.33902/jpr.202217094
CrossRef,A Principled Approach to Performance Task Design,"M. Christina Schneider, Robert L. Johnson",2018,Using Formative Assessment to Support Student Learning Objectives,10.4324/9781315625805-4,https://doi.org/10.4324/9781315625805-4
arXiv,The ADAPT Enhanced Dependency Parser at the IWPT 2020 Shared Task,"James Barry, Joachim Wagner, Jennifer Foster",2020,arXiv preprint,,http://arxiv.org/abs/2009.01712v1
arXiv,Self-training with noisy student model and semi-supervised loss function for dcase 2021 challenge task 4,"Nam Kyun Kim, Hong Kook Kim",2021,arXiv preprint,,http://arxiv.org/abs/2107.02569v1
arXiv,On-Demand Lecture Watching System Using Various Actions of Student Characters to Maintain Concentration,"Saizo Aoyagi, Ryoma Okazaki, Seishiro Hara, Fumiya Ikeda, Michiya Yamamoto",2025,arXiv preprint,,http://arxiv.org/abs/2602.03853v1
arXiv,Scaffolding Metacognition with GenAI: Exploring Design Opportunities to Support Task Management for University Students with ADHD,"Zihao Zhu, Junnan Yu, Yuhan Luo",2026,arXiv preprint,,http://arxiv.org/abs/2602.09381v1
arXiv,Secure Web-Based Student Information Management System,Oluwatosin Samuel Falebita,2022,arXiv preprint,,http://arxiv.org/abs/2211.00072v1
arXiv,ConvCounsel: A Conversational Dataset for Student Counseling,"Po-Chuan Chen, Mahdin Rohmatillah, You-Teng Lin, Jen-Tzung Chien",2024,arXiv preprint,,http://arxiv.org/abs/2411.00604v1
arXiv,Who negatively influences me? Formalizing diffusion dynamics of negative exposure leading to student attrition in MOOCs,Tanmay Sinha,2014,arXiv preprint,,http://arxiv.org/abs/1407.7133v2
arXiv,An Effective Learning Management System for Revealing Student Performance Attributes,"Xinyu Zhang, Vincent CS Lee, Duo Xu, Jun Chen, Mohammad S. Obaidat",2024,arXiv preprint,,http://arxiv.org/abs/2403.13822v1
